Region,Title,Rank,Source
AU,Train Dreams,6,Netflix
AU,Bait,6,Netflix
AU,2 Hearts,6,Netflix
AU,65,6,Netflix
AU,Dragonkeeper,6,Netflix
AU,With or Without You,6,Netflix
AU,Whitney Houston: I Wanna Dance with Somebody,6,Netflix
AU,Sniper: G.R.I.T. - Global Response & Intelligence Team,7,Netflix
AU,Rush Hour,7,Netflix
AU,Mortal Kombat,7,Netflix
AU,Bank of Dave 2: The Loan Ranger,7,Netflix
AU,MaXXXine,7,Netflix
AU,Sikandar,7,Netflix
AU,Grenfell: Uncovered,7,Netflix
AU,The Cost,7,Netflix
AU,The Hangover: Part II,7,Netflix
AU,The Northman,7,Netflix
AU,The Pope's Exorcist,7,Netflix
AU,Storks,7,Netflix
AU,The Hunger Games: The Ballad of Songbirds and Snakes,7,Netflix
AU,The Boss Baby,7,Netflix
AU,Next,7,Netflix
AU,Infinite,7,Netflix
AU,The Score,7,Netflix
AU,The Mountain Between Us,7,Netflix
AU,Deva,7,Netflix
AU,Wolf Man,7,Netflix
AU,Wonder Park,7,Netflix
AU,After the Sunset,7,Netflix
AU,Untold: The Liver King,7,Netflix
AU,Trainwreck: Storm Area 51,7,Netflix
AU,Flipped,7,Netflix
AU,Dennis the Menace,7,Netflix
AU,World War Z,7,Netflix
AU,Jewel Thief - The Heist Begins,8,Netflix
AU,Oklahoma City Bombing: American Terror,8,Netflix
AU,Unbroken,8,Netflix
AU,Avicii - I'm Tim,8,Netflix
AU,Love Hurts,8,Netflix
AU,Pawno,8,Netflix
AU,Pushpa 2: The Rule (Reloaded Version),8,Netflix
AU,Mystify: Michael Hutchence,8,Netflix
AU,The Hangover: Part III,8,Netflix
AU,Fall for Me,8,Netflix
AU,Ted 2,8,Netflix
AU,Shrek 2,8,Netflix
AU,Enemy at the Gates,8,Netflix
AU,Dolittle,8,Netflix
AU,Elf,8,Netflix
AU,Chaos: The Manson Murders,8,Netflix
AU,28 Weeks Later,8,Netflix
AU,Caramelo,8,Netflix
AU,Dumb Money,8,Netflix
AU,Copycat,8,Netflix
AU,Mango,8,Netflix
AU,Good Will Hunting,8,Netflix
AU,The Conjuring: The Devil Made Me Do It,8,Netflix
AU,Pale Rider,8,Netflix
AU,Jack Reacher: Never Go Back,8,Netflix
AU,The Old Guard,8,Netflix
AU,The Wasp,8,Netflix
AU,Demon City,9,Netflix
AU,Follow Me,9,Netflix
AU,Inspector Zende,9,Netflix
AU,Non-Stop,9,Netflix
AU,The Art of War,9,Netflix
AU,Forgive Us All,9,Netflix
AU,The Diplomat,9,Netflix
AU,French Lover,9,Netflix
AU,Fun with Dick & Jane,9,Netflix
AU,Forgetting Sarah Marshall,9,Netflix
AU,The Heart Knows,9,Netflix
AU,The Suicide Squad,9,Netflix
AU,The Beast Within,9,Netflix
AU,Uproar,9,Netflix
AU,Bullet Train Explosion,9,Netflix
AU,Raid 2,9,Netflix
AU,Upgrade,9,Netflix
AU,Timeline,9,Netflix
AU,The Truman Show,10,Netflix
AU,The Witches,10,Netflix
AU,Jaat,10,Netflix
AU,I Still Believe,10,Netflix
AU,Idli Kadai,10,Netflix
AU,"Are You There God? It's Me, Margaret",10,Netflix
AU,Britain and The Blitz,10,Netflix
AU,Bad Influence,10,Netflix
AU,Jolly LLB 3,10,Netflix
AU,Meet Joe Black,10,Netflix
AU,Memoirs of a Geisha,10,Netflix
AU,Love Happens,10,Netflix
AU,May December,10,Netflix
AU,Saiyaara,10,Netflix
AU,She Said Maybe,10,Netflix
AU,Runn,10,Netflix
AU,What About Sal?,10,Netflix
AU,Babes,10,Netflix
AU,Counterattack,10,Netflix
AU,Dr. Seuss' The Lorax,10,Netflix
HK,1992,1,Netflix
HK,28 Years Later,1,Netflix
HK,A HOUSE OF DYNAMITE,1,Netflix
HK,Anaconda: Cursed Jungle,1,Netflix
HK,Back in Action,1,Netflix
HK,BogotÃ¡: City of the Lost,1,Netflix
HK,Champagne Problems,1,Netflix
HK,Bullet Train Explosion,1,Netflix
HK,Demon City,1,Netflix
HK,Frankenstein,1,Netflix
HK,Kraven the Hunter,1,Netflix
HK,KPop Demon Hunters,1,Netflix
HK,Fear Street: Prom Queen,1,Netflix
HK,Exterritorial,1,Netflix
HK,Fat Choi Spirit,1,Netflix
HK,iHostage,1,Netflix
HK,The Killer,1,Netflix
HK,The Great Flood,1,Netflix
HK,The Old Guard 2,1,Netflix
HK,The Match,1,Netflix
HK,The Super Mario Bros. Movie,1,Netflix
HK,The Woman in Cabin 10,1,Netflix
HK,Wake Up Dead Man: A Knives Out Mystery,1,Netflix
HK,Venom: The Last Dance,1,Netflix
