Region,Title,Source,Rank,Score
JP,Risqué,TMDb,,4.875
JP,狼城驚魂,TMDb,,6.8
JP,劇場版『鏈鋸人 蕾潔篇』,TMDb,,8.291
JP,換乘真愛,TMDb,,7.0
JP,終極戰士：殺戮星球,TMDb,,7.339
JP,The Other,TMDb,,5.671
JP,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,TMDb,,7.634
JP,山怪巨魔 2,TMDb,,6.63
JP,角頭－鬥陣欸,TMDb,,6.2
JP,家弒服務,TMDb,,7.976
JP,神鬼劫案：瞞天過海,TMDb,,6.59
JP,坎塔拉：第一章,TMDb,,7.0
JP,科學怪人,TMDb,,7.713
JP,一戰再戰,TMDb,,7.476
JP,哪吒之魔童鬧海,TMDb,,8.09
JP,征服者,TMDb,,6.268
JP,德古拉：愛情故事,TMDb,,7.116
JP,Kpop 獵魔女團,TMDb,,8.173
JP,紐倫堡審判,TMDb,,7.183
JP,劇場版 咒術迴戰 澀谷事變x死滅迴游 先行上映,TMDb,,5.3
JP,倫敦呼喚,TMDb,,7.0
JP,不可能的任務：最終清算,TMDb,,7.243
JP,Soy Frankelda,TMDb,,8.513
JP,乖狗狗,TMDb,,6.765
JP,去死吧，親愛的,TMDb,,6.4
JP,魔法壞女巫：第二部,TMDb,,6.8
JP,超人,TMDb,,7.391
JP,驚奇4超人：第一步,TMDb,,7.011
JP,海綿寶寶電影版：尋寶大冒險,TMDb,,7.1
JP,柔語情話,TMDb,,5.975
JP,限時營救,TMDb,,6.3
JP,暴蜂尼亞,TMDb,,7.423
JP,10DANCE,TMDb,,6.7
JP,全家逃走中 2：在節難逃,TMDb,,6.626
JP,孤夜尋兇：豪門血案,TMDb,,7.3
JP,顫懼,TMDb,,5.513
JP,Please Don't Feed the Children,TMDb,,6.018
JP,木匠之子,TMDb,,5.2
JP,侏羅紀世界：重生,TMDb,,6.371
JP,闇黑電話2,TMDb,,6.856
JP,只為你遺憾,TMDb,,7.008
JP,Dreams,TMDb,,5.654
KR,阿凡達：火與燼,TMDb,,7.365
KR,巨洪,TMDb,,6.087
KR,出神入化3,TMDb,,6.5
KR,動物方城市2,TMDb,,7.657
KR,黃金硬漢：殺出血路,TMDb,,7.507
KR,佛萊迪餐館之五夜驚魂2,TMDb,,6.5
KR,死鑽倒影,TMDb,,6.011
KR,世界毀滅者,TMDb,,6.034
KR,Delivery Run,TMDb,,5.475
KR,三惡人,TMDb,,6.214
KR,鋒迴路轉：亡者歸來,TMDb,,7.216
KR,Bang: storm of bullets,TMDb,,6.306
KR,逃亡遊戲,TMDb,,6.824
KR,世界大戰,TMDb,,4.251
KR,勇者時刻,TMDb,,7.985
KR,捕風追影,TMDb,,6.587
KR,創：戰神,TMDb,,6.587
KR,狩獵季,TMDb,,7.1
KR,Risqué,TMDb,,4.875
KR,狼城驚魂,TMDb,,6.8
KR,劇場版『鏈鋸人 蕾潔篇』,TMDb,,8.291
KR,換乘真愛,TMDb,,7.0
KR,終極戰士：殺戮星球,TMDb,,7.339
KR,The Other,TMDb,,5.671
KR,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,TMDb,,7.634
KR,山怪巨魔 2,TMDb,,6.63
KR,角頭－鬥陣欸,TMDb,,6.2
KR,家弒服務,TMDb,,7.976
KR,神鬼劫案：瞞天過海,TMDb,,6.59
KR,坎塔拉：第一章,TMDb,,7.0
KR,科學怪人,TMDb,,7.713
KR,一戰再戰,TMDb,,7.476
KR,哪吒之魔童鬧海,TMDb,,8.09
KR,征服者,TMDb,,6.268
KR,德古拉：愛情故事,TMDb,,7.116
KR,Kpop 獵魔女團,TMDb,,8.173
KR,紐倫堡審判,TMDb,,7.183
KR,劇場版 咒術迴戰 澀谷事變x死滅迴游 先行上映,TMDb,,5.3
KR,倫敦呼喚,TMDb,,7.0
KR,不可能的任務：最終清算,TMDb,,7.243
KR,Soy Frankelda,TMDb,,8.513
KR,乖狗狗,TMDb,,6.765
KR,去死吧，親愛的,TMDb,,6.4
KR,魔法壞女巫：第二部,TMDb,,6.8
KR,超人,TMDb,,7.391
KR,驚奇4超人：第一步,TMDb,,7.011
KR,海綿寶寶電影版：尋寶大冒險,TMDb,,7.071
KR,柔語情話,TMDb,,5.975
KR,限時營救,TMDb,,6.3
KR,暴蜂尼亞,TMDb,,7.423
KR,10DANCE,TMDb,,6.7
KR,全家逃走中 2：在節難逃,TMDb,,6.626
KR,孤夜尋兇：豪門血案,TMDb,,7.3
KR,顫懼,TMDb,,5.513
KR,Please Don't Feed the Children,TMDb,,6.018
KR,木匠之子,TMDb,,5.2
KR,侏羅紀世界：重生,TMDb,,6.371
KR,闇黑電話2,TMDb,,6.856
KR,只為你遺憾,TMDb,,7.008
KR,Dreams,TMDb,,5.654
TW,28 Years Later,Netflix,1,
TW,A HOUSE OF DYNAMITE,Netflix,1,
TW,Bullet Train Explosion,Netflix,1,
TW,Back in Action,Netflix,1,
TW,BogotÃ¡: City of the Lost,Netflix,1,
TW,Dead Talents Society,Netflix,1,
TW,Creation of the Gods I: Kingdom of Storms,Netflix,1,
TW,Champagne Problems,Netflix,1,
TW,Demon City,Netflix,1,
TW,Mantis,Netflix,1,
TW,Mission: Impossible - Dead Reckoning,Netflix,1,
TW,Legends of the Condor Heroes: The Gallants,Netflix,1,
TW,Lovesick,Netflix,1,
TW,GATAO: Like Father Like Son,Netflix,1,
TW,Frankenstein,Netflix,1,
TW,Fox Hunt,Netflix,1,
TW,KPop Demon Hunters,Netflix,1,
TW,Twilight of the Warriors: Walled In,Netflix,1,
TW,The Great Flood,Netflix,1,
TW,The Super Mario Bros. Movie,Netflix,1,
TW,Suffocating Love,Netflix,1,
TW,The Electric State,Netflix,1,
TW,Venom: The Last Dance,Netflix,1,
TW,Unknown Number: The High School Catfish,Netflix,1,
TW,The Woman in Cabin 10,Netflix,1,
TW,Organ Child,Netflix,1,
TW,Shall We Die?,Netflix,1,
TW,Love Untangled,Netflix,2,
TW,Happy Gilmore 2,Netflix,2,
TW,La Dolce Villa,Netflix,2,
TW,I Am the Secret in Your Heart,Netflix,2,
TW,Gatao: Big Brothers,Netflix,2,
TW,My Oxford Year,Netflix,2,
TW,Night Always Comes,Netflix,2,
TW,The Match,Netflix,2,
TW,The Elixir,Netflix,2,
TW,The First Slam Dunk,Netflix,2,
TW,Tee Yai: Born To Be Bad,Netflix,2,
TW,Kraven the Hunter,Netflix,2,
TW,Meg 2: The Trench,Netflix,2,
TW,Ziam,Netflix,2,
TW,The Old Guard 2,Netflix,2,
TW,Revelations,Netflix,2,
TW,STRAW,Netflix,2,
TW,Upstream,Netflix,2,
TW,Wall to Wall,Netflix,2,
TW,Troll 2,Netflix,2,
TW,iHostage,Netflix,2,
TW,Ajoomma,Netflix,2,
TW,Anaconda: Cursed Jungle,Netflix,2,
TW,Detective Conan the Movie: The Bride of Halloween,Netflix,2,
TW,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Netflix,2,
TW,A Widow's Game,Netflix,2,
TW,Ad Vitam,Netflix,2,
TW,1992,Netflix,2,
TW,Good News,Netflix,3,
TW,Fall for Me,Netflix,3,
TW,Counterattack,Netflix,3,
TW,Big World,Netflix,3,
TW,Brick,Netflix,3,
TW,Be With Me,Netflix,3,
TW,Detective Conan the Movie: Black Iron Submarine,Netflix,3,
TW,Havoc,Netflix,3,
TW,Caramelo,Netflix,3,
TW,Exterritorial,Netflix,3,
TW,Love in Taipei,Netflix,3,
TW,Transformers: Rise of the Beasts,Netflix,3,
TW,The Thursday Murder Club,Netflix,3,
TW,The Last Voyage of the Demeter,Netflix,3,
TW,Wake Up Dead Man: A Knives Out Mystery,Netflix,3,
TW,The Fate of the Furious,Netflix,3,
TW,The Stone,Netflix,3,
TW,K.O.,Netflix,3,
TW,Jingle Bell Heist,Netflix,3,
TW,The Last Frenzy,Netflix,4,
TW,The Killer,Netflix,4,
TW,Larry Crowne,Netflix,4,
TW,Inside Man: Most Wanted,Netflix,4,
TW,Fear Street: Prom Queen,Netflix,4,
TW,Fast X,Netflix,4,
TW,Ballad of a Small Player,Netflix,4,
TW,Carry-On,Netflix,4,
TW,Crayon Shin-chan the Movie: Our Dinosaur Diary,Netflix,4,
TW,Day Off,Netflix,4,
TW,Detective Conan the Movie: The Darkest Nightmare,Netflix,4,
TW,Faceless,Netflix,4,
TW,Death Whisperer 2,Netflix,4,
TW,Cells At Work!,Netflix,4,
TW,28 Weeks Later,Netflix,4,
TW,No More Bets,Netflix,4,
TW,Monk Comes Down the Mountain,Netflix,4,
TW,My Hero Academia: You're Next,Netflix,4,
TW,"Them, Behind the Door",Netflix,4,
TW,Train Dreams,Netflix,4,
TW,Nonnas,Netflix,4,
TW,OVERLORD:The Sacred Kingdom,Netflix,4,
TW,Black Sea,Netflix,4,
TW,A Time to Kill,Netflix,4,
TW,Mango,Netflix,5,
TW,Kingdom: Return of The Great General,Netflix,5,
TW,It Ends With Us,Netflix,5,
TW,Karate Kid: Legends,Netflix,5,
TW,In Your Dreams,Netflix,5,
TW,Titan: The OceanGate Submersible Disaster,Netflix,5,
TW,Trouble Girl,Netflix,5,
TW,Life or Something Like It,Netflix,5,
TW,Honeymoon Crasher,Netflix,5,
TW,A Wedding Invitation,Netflix,5,
TW,Delicious,Netflix,5,
TW,Bloodshot,Netflix,5,
TW,The Old Guard,Netflix,5,
TW,The Life List,Netflix,5,
TW,Trainwreck: Poop Cruise,Netflix,5,
