Region,Title,Rating
JP,Ballad of a Small Player,8
JP,Hokusai,9
JP,Lakeview Terrace,9
JP,Dolittle,9
JP,Detective Conan the Movie: The Phantom of Baker Street,9
JP,Egoist,9
JP,Ghost Cat Anzu,9
JP,Mirai,9
JP,Partners: The Movie II,9
JP,The Garden of Words,9
JP,Winnie-the-Pooh: Blood and Honey 2,9
JP,The Suspect: Muroi Shinji,9
JP,The Light of a Firefly Forest,9
JP,The Last Voyage of the Demeter,9
JP,Secret: A Hidden Score,9
JP,Fall for Me,9
JP,Golden Kamuy,9
JP,Everything Will be Owlright!,9
JP,French Lover,9
JP,Knight and Day,9
JP,A Widow's Game,10
JP,Copycat,10
JP,Jack Reacher: Never Go Back,10
JP,Happy Gilmore 2,10
JP,Harry Potter and the Deathly Hallows: Part 2,10
JP,Fast & Furious Presents: Hobbs & Shaw,10
JP,Detective Conan the Movie: The Time-Bombed Skyscraper,10
JP,Dogman,10
JP,Despicable Me 3,10
JP,Detective Conan the Movie: Jolly Roger in the Deep Azure,10
JP,65,10
JP,The Art of Racing in the Rain,10
JP,The Blood of Wolves,10
JP,Men in Black,10
JP,Mononoke The Movie: Chapter II - The Ashes of Rage,10
JP,Migration,10
JP,Mafia Mamma,10
JP,Plankton: The Movie,10
JP,The Fate of the Furious,10
JP,The Woman King,10
JP,Welcome to Sudden Death,10
