country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Japan,JP,2025-10-19,Films,4,KPop Demon Hunters,,17
Japan,JP,2025-10-19,Films,5,Chainsaw Man â The Compilation,,6
Japan,JP,2025-10-19,Films,6,Caramelo,,2
Japan,JP,2025-10-19,Films,7,Good News,,1
Japan,JP,2025-10-19,Films,8,Sin and Evil,,5
Japan,JP,2025-10-19,Films,9,Mantis,,4
Japan,JP,2025-10-19,Films,10,My Happy Marriage,,5
Japan,JP,2025-10-12,Films,1,Chainsaw Man â The Compilation,,5
Japan,JP,2025-10-12,Films,2,KPop Demon Hunters,,16
Japan,JP,2025-10-12,Films,3,The Woman in Cabin 10,,1
Japan,JP,2025-10-12,Films,4,Mantis,,3
Japan,JP,2025-10-12,Films,5,Sin and Evil,,4
Japan,JP,2025-10-12,Films,6,HELL DOGS - IN THE HOUSE OF BAMBOO -,,7
Japan,JP,2025-10-12,Films,7,Caramelo,,1
Japan,JP,2025-10-12,Films,8,My Happy Marriage,,4
Japan,JP,2025-10-12,Films,9,Madame Web,,2
Japan,JP,2025-10-12,Films,10,Migration,,1
Japan,JP,2025-10-05,Films,1,Mantis,,2
Japan,JP,2025-10-05,Films,2,Chainsaw Man â The Compilation,,4
Japan,JP,2025-10-05,Films,3,KPop Demon Hunters,,15
Japan,JP,2025-10-05,Films,4,Sin and Evil,,3
Japan,JP,2025-10-05,Films,5,Madame Web,,1
Japan,JP,2025-10-05,Films,6,Man on Fire,,2
Japan,JP,2025-10-05,Films,7,My Happy Marriage,,3
Japan,JP,2025-10-05,Films,8,Organ Child,,1
Japan,JP,2025-10-05,Films,9,French Lover,,1
Japan,JP,2025-10-05,Films,10,The Last Town We Saw,The Last Town We Saw: Season 1,3
Japan,JP,2025-09-28,Films,1,Sin and Evil,,2
Japan,JP,2025-09-28,Films,2,The Last Town We Saw,The Last Town We Saw: Season 1,2
Japan,JP,2025-09-28,Films,3,Chainsaw Man â The Compilation,,3
Japan,JP,2025-09-28,Films,4,My Happy Marriage,,2
Japan,JP,2025-09-28,Films,5,Mantis,,1
Japan,JP,2025-09-28,Films,6,KPop Demon Hunters,,14
Japan,JP,2025-09-28,Films,7,Man on Fire,,1
Japan,JP,2025-09-28,Films,8,Seventh Son,,3
Japan,JP,2025-09-28,Films,9,Black Crow 1,,3
Japan,JP,2025-09-28,Films,10,Black Crow 2,,2
Japan,JP,2025-09-21,Films,1,Chainsaw Man â The Compilation,,2
Japan,JP,2025-09-21,Films,2,My Happy Marriage,,1
Japan,JP,2025-09-21,Films,3,Sin and Evil,,1
Japan,JP,2025-09-21,Films,4,Black Crow 1,,2
Japan,JP,2025-09-21,Films,5,KPop Demon Hunters,,13
Japan,JP,2025-09-21,Films,6,The Last Town We Saw,The Last Town We Saw: Season 1,1
Japan,JP,2025-09-21,Films,7,Black Crow 2,,1
Japan,JP,2025-09-21,Films,8,Black Crow3,,2
Japan,JP,2025-09-21,Films,9,Black Crow0,,2
Japan,JP,2025-09-21,Films,10,Mafia Mamma,,1
Japan,JP,2025-09-14,Films,1,Chainsaw Man â The Compilation,,1
Japan,JP,2025-09-14,Films,2,KPop Demon Hunters,,12
Japan,JP,2025-09-14,Films,3,Honeko Akabaneâs Bodyguards,,2
Japan,JP,2025-09-14,Films,4,Hey Handsome!! The Movie,,2
Japan,JP,2025-09-14,Films,5,Love Untangled,,3
Japan,JP,2025-09-14,Films,6,Black Crow 1,,1
Japan,JP,2025-09-14,Films,7,Black Crow0,,1
Japan,JP,2025-09-14,Films,8,City Hunter,,8
Japan,JP,2025-09-14,Films,9,Black Crow3,,1
Japan,JP,2025-09-14,Films,10,The Thursday Murder Club,,3
Japan,JP,2025-09-07,Films,1,Honeko Akabaneâs Bodyguards,,1
Japan,JP,2025-09-07,Films,2,Hey Handsome!! The Movie,,1
Japan,JP,2025-09-07,Films,3,Love Untangled,,2
Japan,JP,2025-09-07,Films,4,KPop Demon Hunters,,11
Japan,JP,2025-09-07,Films,5,The Thursday Murder Club,,2
Japan,JP,2025-09-07,Films,6,Five Nights at Freddy's,,1
Japan,JP,2025-09-07,Films,7,Tokyo MER: Mobile Emergency Room - The Movie,,7
Japan,JP,2025-09-07,Films,8,PAW Patrol: The Mighty Movie,,4
Japan,JP,2025-09-07,Films,9,Hokusai,,1
Japan,JP,2025-09-07,Films,10,Fast & Furious Presents: Hobbs & Shaw,,6
Japan,JP,2025-08-31,Films,1,KPop Demon Hunters,,10
Japan,JP,2025-08-31,Films,2,The Thursday Murder Club,,1
Japan,JP,2025-08-31,Films,3,Ya Boy Kongming! The Movie,,1
Japan,JP,2025-08-31,Films,4,Love Untangled,,1
Japan,JP,2025-08-31,Films,5,Revolver Lily,,3
Japan,JP,2025-08-31,Films,6,PAW Patrol: The Mighty Movie,,3
Japan,JP,2025-08-31,Films,7,Tokyo MER: Mobile Emergency Room - The Movie,,6
Japan,JP,2025-08-31,Films,8,Crayon Shin-chan the Movie: Our Dinosaur Diary,,5
Japan,JP,2025-08-31,Films,9,Fall for Me,,1
Japan,JP,2025-08-31,Films,10,The Art of Racing in the Rain,,1
Japan,JP,2025-08-24,Films,1,Revolver Lily,,2
Japan,JP,2025-08-24,Films,2,KPop Demon Hunters,,9
Japan,JP,2025-08-24,Films,3,PAW Patrol: The Mighty Movie,,2
Japan,JP,2025-08-24,Films,4,Crayon Shin-chan the Movie: Our Dinosaur Diary,,4
Japan,JP,2025-08-24,Films,5,Tokyo MER: Mobile Emergency Room - The Movie,,5
Japan,JP,2025-08-24,Films,6,Run For Money The Movie,,1
Japan,JP,2025-08-24,Films,7,Taxi,,1
Japan,JP,2025-08-24,Films,8,Inside,,1
Japan,JP,2025-08-24,Films,9,Grave of the Fireflies,,4
Japan,JP,2025-08-24,Films,10,Welcome to Sudden Death,,1
Japan,JP,2025-08-17,Films,1,Revolver Lily,,1
Japan,JP,2025-08-17,Films,2,Crayon Shin-chan the Movie: Our Dinosaur Diary,,3
Japan,JP,2025-08-17,Films,3,Tokyo MER: Mobile Emergency Room - The Movie,,4
Japan,JP,2025-08-17,Films,4,KPop Demon Hunters,,8
Japan,JP,2025-08-17,Films,5,PAW Patrol: The Mighty Movie,,1
Japan,JP,2025-08-17,Films,6,Grave of the Fireflies,,3
Japan,JP,2025-08-17,Films,7,My Hero Academia: You're Next,,3
Japan,JP,2025-08-17,Films,8,Elektra,,1
Japan,JP,2025-08-17,Films,9,Shin Jigen! Crayon Shin-chan the Movie,,2
Japan,JP,2025-08-17,Films,10,Mononoke The Movie: Chapter II - The Ashes of Rage,,1
Japan,JP,2025-08-10,Films,1,Crayon Shin-chan the Movie: Our Dinosaur Diary,,2
Japan,JP,2025-08-10,Films,2,Shin Jigen! Crayon Shin-chan the Movie,,1
Japan,JP,2025-08-10,Films,3,My Hero Academia: You're Next,,2
Japan,JP,2025-08-10,Films,4,Tokyo MER: Mobile Emergency Room - The Movie,,3
Japan,JP,2025-08-10,Films,5,KPop Demon Hunters,,7
Japan,JP,2025-08-10,Films,6,My Oxford Year,,1
Japan,JP,2025-08-10,Films,7,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,,6
Japan,JP,2025-08-10,Films,8,Tang,,1
Japan,JP,2025-08-10,Films,9,Dolittle,,2
Japan,JP,2025-08-10,Films,10,Godzilla x Kong: The New Empire,,3
Japan,JP,2025-08-03,Films,1,Tokyo MER: Mobile Emergency Room - The Movie,,2
Japan,JP,2025-08-03,Films,2,Godzilla x Kong: The New Empire,,2
Japan,JP,2025-08-03,Films,3,Flightplan,,1
Japan,JP,2025-08-03,Films,4,KPop Demon Hunters,,6
Japan,JP,2025-08-03,Films,5,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,,5
Japan,JP,2025-08-03,Films,6,Wall to Wall,,3
Japan,JP,2025-08-03,Films,7,My Hero Academia: You're Next,,1
Japan,JP,2025-08-03,Films,8,Crayon Shin-chan the Movie: Our Dinosaur Diary,,1
Japan,JP,2025-08-03,Films,9,Kingdom: Return of The Great General,,4
Japan,JP,2025-08-03,Films,10,Happy Gilmore 2,,1
Japan,JP,2025-07-27,Films,1,Wall to Wall,,2
Japan,JP,2025-07-27,Films,2,Tokyo MER: Mobile Emergency Room - The Movie,,1
Japan,JP,2025-07-27,Films,3,Godzilla x Kong: The New Empire,,1
Japan,JP,2025-07-27,Films,4,KPop Demon Hunters,,5
Japan,JP,2025-07-27,Films,5,Kingdom: Return of The Great General,,3
Japan,JP,2025-07-27,Films,6,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,,4
Japan,JP,2025-07-27,Films,7,Grave of the Fireflies,,2
Japan,JP,2025-07-27,Films,8,Brick,,3
Japan,JP,2025-07-27,Films,9,Ghost Cat Anzu,,1
Japan,JP,2025-07-27,Films,10,Cells At Work!,,7
Japan,JP,2025-07-20,Films,1,Kingdom: Return of The Great General,,2
Japan,JP,2025-07-20,Films,2,Grave of the Fireflies,,1
Japan,JP,2025-07-20,Films,3,Wall to Wall,,1
Japan,JP,2025-07-20,Films,4,Brick,,2
Japan,JP,2025-07-20,Films,5,The Expendables 4,,2
Japan,JP,2025-07-20,Films,6,KPop Demon Hunters,,4
Japan,JP,2025-07-20,Films,7,Almost Cops,,1
Japan,JP,2025-07-20,Films,8,Cells At Work!,,6
Japan,JP,2025-07-20,Films,9,The Old Guard 2,,3
Japan,JP,2025-07-20,Films,10,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,,3
Japan,JP,2025-07-13,Films,1,Kingdom: Return of The Great General,,1
Japan,JP,2025-07-13,Films,2,The Expendables 4,,1
Japan,JP,2025-07-13,Films,3,The Old Guard 2,,2
Japan,JP,2025-07-13,Films,4,Brick,,1
Japan,JP,2025-07-13,Films,5,Ziam,,1
Japan,JP,2025-07-13,Films,6,The Old Guard,,2
Japan,JP,2025-07-13,Films,7,KPop Demon Hunters,,3
Japan,JP,2025-07-13,Films,8,Cells At Work!,,5
Japan,JP,2025-07-13,Films,9,Paw Patrol: The Movie,,6
Japan,JP,2025-07-13,Films,10,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,,2
Japan,JP,2025-07-06,Films,1,The Old Guard 2,,1
Japan,JP,2025-07-06,Films,2,The Old Guard,,1
Japan,JP,2025-07-06,Films,3,Cells At Work!,,4
Japan,JP,2025-07-06,Films,4,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,,1
Japan,JP,2025-07-06,Films,5,KPop Demon Hunters,,2
Japan,JP,2025-07-06,Films,6,Paw Patrol: The Movie,,5
Japan,JP,2025-07-06,Films,7,99.9 Criminal Lawyer: The Movie,,7
